"","plots","grass.cover","shrub.density","mature.tree.density","sapling.density","snag.density","year","Na","Ca","dist_to_shore"
"93","SWTRA02",84,110.619469026549,0,0,752.212389380531,"2004",3837,1396,124.4647078
"162","SWTRA02",73,0,0,0,44.2477876106195,"2016",1286,932,64.18187161
"94","SWTRA03",54,22.1238938053097,44.2477876106195,44.2477876106195,707.964601769911,"2004",2771,1072,444.6707715
"182","SWTRA03",10,0,0,0,66.3716814159292,"2016",1069,817,504.2531347
"95","SWTRA04",13,44.2477876106195,0,0,530.973451327434,"2004",2181,1448,581.4449543
"163","SWTRA04",50,0,0,0,22.1238938053097,"2016",769,705,338.1172596
"96","SWTRA05",66,0,0,44.2477876106195,420.353982300885,"2004",4102,1677,151.4305595
"164","SWTRA05",66,0,0,0,0,"2016",1301,881,148.8145533
"97","SWTRA06",54,0,0,22.1238938053097,575.221238938053,"2004",5757,2259,530.3522889
"181","SWTRA06",27,0,0,0,44.2477876106195,"2016",1478,860,528.2978957
"98","SWTRA07",78,0,0,0,176.991150442478,"2004",3202,1447,474.3892409
"153","SWTRA07",92,0,0,0,0,"2016",1703,985,433.0741213
