SampleLocation,Comm,SampleDescription1,SampleDescription2,LabNumber,TEC,pH,SMP Buffer,OrganicMatter,ENR,SolubleSulfur,P,P_ppm,Ca,Ca_ppm,Mg,Mg_ppm,K,K_ppm,Na,Na_ppm,Ca_pct,Mg_pct,K_pct,Na_pct,Other_pct,H_pct,B_ppm,Fe_ppm,Mn_ppm,Cu_ppm,Zn_ppm,Al_ppm
Gull.Rock Transition,GRTRA,6,12,0226-1,83.59,5,6.1,77.56,> 130,411,261,57,3162,1581,4198,2099,390,195,6390,3195,9.46,20.93,0.6,16.62,7.4,45,2.46,97,3,1.43,2.21,724
Long.Shoal Forest,LSFOR,7,28,0242-1,64.2,4.5,5.3,86.83,> 130,126,421,92,2132,1066,2764,1382,596,298,2708,1354,8.3,17.94,1.19,9.17,8.4,55,0.97,149,< 1,0.96,2.06,335
Long.Shoal Forest,LSFOR,5,26,0240-1,90.59,4.4,5.2,83.3,> 130,202,582,127,2694,1347,3580,1790,630,315,4004,2002,7.43,16.47,0.89,9.61,8.6,57,1.1,119,2,1.12,2.64,452
Long.Shoal Forest,LSFOR,4,25,0239-1,86.02,4.3,5.2,79.5,> 130,194,339,74,2312,1156,2992,1496,522,261,4040,2020,6.72,14.49,0.78,10.21,8.8,59,1.15,213,4,1.07,2.95,491
Long.Shoal Forest,LSFOR,2,23,0237-1,80.39,4.3,5.5,79.6,> 130,320,431,94,1934,967,2650,1325,876,438,4088,2044,6.01,13.74,1.4,11.05,8.8,59,1.09,127,2,0.86,2.7,494
Long.Shoal Forest,LSFOR,3,24,0238-1,81.1,4.4,5.5,81.75,> 130,350,256,56,2262,1131,3038,1519,338,169,4210,2105,6.97,15.61,0.53,11.29,8.6,57,1.18,42,2,1.19,2.7,545
Long.Shoal Forest,LSFOR,6,27,0241-1,93.22,4.3,5.3,64.56,> 130,269,476,104,2456,1228,3324,1662,672,336,4216,2108,6.59,14.86,0.92,9.83,8.8,59,1.26,249,7,1.3,3,608
Long.Shoal Forest,LSFOR,1,22,0236-1,86.62,4.4,5.5,81.8,> 130,228,637,139,2450,1225,3196,1598,556,278,4436,2218,7.07,15.37,0.82,11.13,8.6,57,1.22,148,3,1.34,1.83,402
Long.Shoal Marsh,LSMAR,7,35,0249-1,107,5.6,6.6,56.27,> 130,1010,458,100,4630,2315,6542,3271,822,411,14532,7266,10.82,25.48,0.98,29.52,6.2,27,8.99,192,32,1.66,4.54,416
Long.Shoal Marsh,LSMAR,2,30,0244-1,159.85,5,6.2,62.21,> 130,1022,353,77,4676,2338,6806,3403,970,485,16006,8003,7.31,17.74,0.78,21.77,7.4,45,7.19,174,26,2.05,3.47,455
Long.Shoal Marsh,LSMAR,4,32,0246-1,153.17,5.2,6.3,53.14,> 130,1091,440,96,4976,2488,7348,3674,1014,507,17644,8822,8.12,19.99,0.85,25.04,7,39,7.6,125,13,2.81,5.56,444
Long.Shoal Marsh,LSMAR,1,29,0243-1,162.02,5.1,6.4,57.08,> 130,988,403,88,4772,2386,6912,3456,934,467,18574,9287,7.36,17.78,0.74,24.92,7.2,42,8.35,141,14,1.43,3.02,567
Long.Shoal Marsh,LSMAR,5,33,0247-1,125.95,5.7,6.5,42.1,> 130,1228,417,91,5164,2582,7644,3822,1186,593,19268,9634,10.25,25.29,1.21,33.26,6,24,9.52,175,17,4.08,7.55,545
Long.Shoal Marsh,LSMAR,3,31,0245-1,146.44,5.4,6.7,57.99,> 130,841,431,94,4870,2435,7724,3862,982,491,19702,9851,8.31,21.98,0.86,29.25,6.6,33,10.46,111,4,1.96,3.38,502
Long.Shoal Marsh,LSMAR,6,34,0248-1,155.66,5.5,6.5,51.96,> 130,1172,366,80,5122,2561,8252,4126,1256,628,23094,11547,8.23,22.09,1.03,32.25,6.4,30,9.97,144,20,1.96,4.22,448
Long.Shoal Transitio,LSTRA,5,40,0254-1,64.41,5.3,6.4,60.7,> 130,685,357,78,2938,1469,3926,1963,572,286,5708,2854,11.4,25.4,1.14,19.27,6.8,36,3.38,94,6,0.93,2.48,523
Long.Shoal Transitio,LSTRA,2,37,0251-1,74.88,5.2,6.4,77.24,> 130,299,289,63,3260,1630,4544,2272,406,203,5902,2951,10.88,25.28,0.7,17.13,7,39,2.5,70,3,0.95,2.89,548
Long.Shoal Transitio,LSTRA,1,36,0250-1,78.57,5.2,6.4,62.62,> 130,530,266,58,3414,1707,4808,2404,482,241,6092,3046,10.86,25.5,0.79,16.86,7,39,3.52,95,9,0.98,2.49,459
Long.Shoal Transitio,LSTRA,4,39,0253-1,82.84,5.1,6.2,68.16,> 130,457,252,55,2564,1282,3658,1829,564,282,9066,4533,7.74,18.4,0.87,23.79,7.2,42,3.08,124,2,0.96,1.7,436
Long.Shoal Transitio,LSTRA,7,42,0256-1,128.58,4.6,5.4,62.39,> 130,529,389,85,3346,1673,4820,2410,720,360,9438,4719,6.51,15.62,0.72,15.96,8.2,53,3.04,435,7,1.29,1.97,577
Long.Shoal Transitio,LSTRA,3,38,0252-1,102.78,5.2,6.1,57.25,> 130,722,394,86,3632,1816,5272,2636,806,403,10774,5387,8.83,21.37,1.01,22.79,7,39,4.65,237,15,3,6.48,544
Long.Shoal Transitio,LSTRA,6,41,0255-1,112,5.2,6.1,63.65,> 130,529,394,86,4216,2108,5894,2947,834,417,11184,5592,9.41,21.93,0.95,21.71,7,39,4.51,334,35,3.61,4.08,442
Manns.Harbor Forest,MAFOR,4,47,0261-1,41.49,4.1,5.5,93.75,> 130,43,60,13,1522,761,1388,694,420,210,648,324,9.17,13.94,1.3,3.4,9.2,63,0.7,93,1,0.73,2.51,92
Manns.Harbor Forest,MAFOR,5,48,0262-1,39.05,4.2,5.1,94.01,> 130,42,50,11,1640,820,1398,699,276,138,660,330,10.5,14.92,0.91,3.67,9,61,0.74,104,2,4.12,3.43,108
Manns.Harbor Forest,MAFOR,6,49,0263-1,30.28,4.5,5.3,93.48,> 130,78,55,12,1288,644,1332,666,268,134,906,453,10.63,18.33,1.13,6.5,8.4,55,0.77,100,2,0.96,1.84,181
Manns.Harbor Forest,MAFOR,11,44,0258-1,37.38,4.4,5.5,89.47,> 130,76,73,16,1506,753,1462,731,446,223,1118,559,10.07,16.3,1.53,6.5,8.6,57,0.7,200,2,4.87,3.46,232
Manns.Harbor Forest,MAFOR,2,46,0260-1,54.63,4.5,5.1,91.42,> 130,95,87,19,2682,1341,2396,1198,492,246,1230,615,12.27,18.27,1.15,4.89,8.4,55,0.74,247,8,5.02,5.85,364
Manns.Harbor Forest,MAFOR,10,43,0257-1,40.58,4.7,5.4,88.68,> 130,177,142,31,1730,865,2070,1035,310,155,1514,757,10.66,21.25,0.98,8.11,8,51,0.68,114,4,1.73,2.95,532
Manns.Harbor Marsh,MAMAR,4,45,0259-1,181.85,4.5,5.9,51.97,> 130,2740,105,23,3680,1840,5098,2549,1388,694,15794,7897,5.06,11.68,0.98,18.88,8.4,55,5.44,342,8,31.9,17.43,626
Manns.Harbor Forest,MAFOR,12,54,0268-1,77.12,3.8,4.9,89.8,> 130,129,73,16,1880,940,2264,1132,432,216,1474,737,6.09,12.23,0.72,4.16,9.8,67,0.84,157,2,11.39,10.35,300
Manns.Harbor Marsh,MAMAR,11,51,0265-1,90.73,4.6,6,72.46,> 130,1044,110,24,3350,1675,3638,1819,332,166,5172,2586,9.23,16.71,0.47,12.39,8.2,53,3.94,137,1,3.58,3.85,301
Manns.Harbor Marsh,MAMAR,3,53,0267-1,132.73,5.2,5.8,59.89,> 130,930,165,36,6626,3313,7738,3869,854,427,10016,5008,12.48,24.29,0.82,16.4,7,39,4.22,331,3,11.78,8.61,458
Manns.Harbor Marsh,MAMAR,7,56,0270-1,158.55,4.3,6.4,64.42,> 130,1881,183,40,2988,1494,4352,2176,870,435,11194,5597,4.71,11.44,0.7,15.35,8.8,59,5.26,262,4,2.54,2.8,353
Manns.Harbor Marsh,MAMAR,10,50,0264-1,170.15,4.6,6,62.28,> 130,1523,270,59,5000,2500,6132,3066,900,450,12334,6167,7.35,15.02,0.68,15.76,8.2,53,4.84,225,3,3.59,3.13,373
Manns.Harbor Marsh,MAMAR,5,55,0269-1,148.64,4.7,5.8,58.21,> 130,2301,142,31,4120,2060,5380,2690,804,402,12510,6255,6.93,15.08,0.69,18.3,8,51,4.31,220,6,27.24,15.06,574
Manns.Harbor Marsh,MAMAR,2,52,0266-1,244.61,4.1,5.7,55.22,> 130,3958,78,17,4562,2281,5574,2787,850,425,14850,7425,4.66,9.49,0.45,13.2,9.2,63,6.01,415,5,7.74,9.07,616
Manns.Harbor Transit,MATRA,7,63,0277-1,36.49,4.9,6.2,83.45,> 130,119,69,15,1740,870,1874,937,832,416,1538,769,11.92,21.4,2.92,9.16,7.6,47,0.83,77,1,1.47,1.75,126
Manns.Harbor Transit,MATRA,6,62,0276-1,48.76,5,6.2,80.95,> 130,106,69,15,2562,1281,2954,1477,640,320,1690,845,13.14,25.24,1.68,7.53,7.4,45,1.06,153,2,3.17,2.21,135
Manns.Harbor Transit,MATRA,5,61,0275-1,63.52,4.9,6,80.84,> 130,247,133,29,3186,1593,3390,1695,666,333,2712,1356,12.54,22.24,1.34,9.28,7.6,47,1.06,160,2,1.58,2.17,188
